iter	Passed	Remaining
0	0	76
1	1	72
2	2	70
3	3	72
4	3	70
5	4	68
6	5	67
7	5	66
8	6	66
9	7	65
10	7	64
11	8	63
12	9	62
13	10	61
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	44
35	24	43
36	25	43
37	26	42
38	27	42
39	27	41
40	28	41
41	28	39
42	29	38
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	25
64	45	24
65	47	24
66	47	23
67	48	23
68	49	22
69	50	21
70	51	20
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
