iter	Passed	Remaining
0	0	77
1	1	70
2	2	66
3	2	62
4	3	60
5	3	60
6	4	59
7	5	60
8	5	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	24	39
38	24	38
39	25	38
40	25	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	61	3
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
